day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
2,2014,04,29,2014-04-29,44.4,36.7,9999.9,9.8,13.6,19.0,28.0,55.4,41.0,0.0,999.9,0,555
2,2014,04,29,2014-04-29,44.2,36.0,1028.1,10.0,16.5,22.0,28.0,46.9,42.1,0.0,999.9,0,555
3,2014,04,30,2014-04-30,42.6,36.7,9999.9,9.1,10.2,15.0,19.0,48.2,41.0,99.99,999.9,0,651
3,2014,04,30,2014-04-30,43.5,36.5,1030.7,9.8,12.3,15.9,24.1,46.0,41.0,0.01,999.9,0,651
4,2014,05,01,2014-05-01,50.3,48.3,1016.6,3.2,13.3,18.1,24.1,55.4,44.1,0.35,999.9,1,650
4,2014,05,01,2014-05-01,51.5,51.1,9999.9,3.0,13.7,21.0,29.9,60.8,42.8,99.99,999.9,1,650
5,2014,05,02,2014-05-02,51.9,44.7,1006.4,6.4,10.2,15.0,999.9,61.0,46.4,0.21,999.9,1,698
5,2014,05,02,2014-05-02,54.0,45.3,9999.9,6.1,7.5,21.0,28.0,66.2,46.4,99.99,999.9,1,698
6,2014,05,03,2014-05-03,50.9,41.1,1010.3,9.1,6.4,13.0,999.9,61.0,41.0,0.01,999.9,0,590
6,2014,05,03,2014-05-03,54.0,39.5,9999.9,9.5,6.8,15.9,21.0,66.2,35.6,0.0,999.9,0,590
7,2014,05,04,2014-05-04,51.4,42.6,1005.1,9.8,12.8,22.0,28.0,57.0,46.9,0.02,999.9,0,451
7,2014,05,04,2014-05-04,54.4,42.1,9999.9,9.8,12.4,26.0,35.9,62.6,48.2,99.99,999.9,0,451
1,2014,05,05,2014-05-05,53.7,40.0,1005.8,10.0,10.2,14.0,22.9,61.0,48.0,0.0,999.9,0,618
1,2014,05,05,2014-05-05,53.2,41.8,9999.9,9.8,8.5,17.1,26.0,59.0,48.2,99.99,999.9,0,618
2,2014,05,06,2014-05-06,52.2,40.5,1011.1,9.6,5.7,11.1,999.9,59.0,46.9,0.01,999.9,0,565
2,2014,05,06,2014-05-06,51.1,38.6,9999.9,10.0,3.8,13.0,22.9,64.4,39.2,99.99,999.9,0,565
3,2014,05,07,2014-05-07,51.6,38.3,1019.8,10.0,6.8,11.1,999.9,60.1,46.0,0.0,999.9,0,603
3,2014,05,07,2014-05-07,57.7,33.4,9999.9,10.0,8.1,12.0,17.1,62.6,50.0,0.0,999.9,0,603
4,2014,05,08,2014-05-08,52.0,43.4,1022.3,9.6,7.5,12.0,999.9,62.1,46.0,0.0,999.9,0,596
4,2014,05,08,2014-05-08,53.0,43.3,9999.9,10.0,7.1,15.0,20.0,64.4,42.8,0.0,999.9,0,596
5,2014,05,09,2014-05-09,53.9,49.2,9999.9,9.1,4.5,11.1,999.9,57.2,48.2,0.0,999.9,1,584
5,2014,05,09,2014-05-09,51.5,44.5,1022.6,8.7,6.7,14.0,999.9,55.9,44.6,0.0,999.9,1,584
6,2014,05,10,2014-05-10,54.8,49.9,1015.2,7.1,11.1,14.0,20.0,57.9,51.8,0.0,999.9,1,549
6,2014,05,10,2014-05-10,60.9,56.1,9999.9,8.9,12.6,17.1,25.1,68.0,55.4,0.0,999.9,0,549
7,2014,05,11,2014-05-11,58.3,49.5,1013.2,8.6,12.6,19.0,24.1,66.0,53.1,0.24,999.9,0,584
7,2014,05,11,2014-05-11,62.1,51.1,9999.9,9.3,10.3,21.0,27.0,71.6,55.4,99.99,999.9,0,584
1,2014,05,12,2014-05-12,57.8,46.2,1018.5,9.8,9.1,13.0,17.1,70.0,48.9,0.23,999.9,0,581
1,2014,05,12,2014-05-12,63.3,43.9,9999.9,10.0,6.5,19.0,28.0,80.6,46.4,99.99,999.9,0,581
2,2014,05,13,2014-05-13,53.4,44.7,9999.9,10.0,12.4,18.1,26.0,60.8,46.4,0.0,999.9,0,560
2,2014,05,13,2014-05-13,51.8,43.8,1022.0,10.0,14.1,22.9,28.0,57.0,46.9,0.0,999.9,0,560
3,2014,05,14,2014-05-14,51.9,45.3,9999.9,10.0,6.5,11.1,15.9,62.6,44.6,0.0,999.9,0,638
3,2014,05,14,2014-05-14,51.2,44.3,1026.5,10.0,9.8,15.0,999.9,59.0,45.0,0.0,999.9,0,638
5,2014,05,30,2014-05-30,49.7,42.2,1019.4,10.0,5.7,9.9,999.9,57.9,41.0,0.0,999.9,0,650
5,2014,05,30,2014-05-30,49.2,41.8,9999.9,9.9,3.3,9.9,13.0,62.6,35.6,0.0,999.9,0,650
6,2014,05,31,2014-05-31,58.6,46.8,9999.9,10.0,14.3,18.1,26.0,60.8,57.2,0.0,999.9,0,587
6,2014,05,31,2014-05-31,53.9,46.5,1019.1,10.0,12.4,25.1,33.0,60.8,48.0,0.0,999.9,0,587
2,2014,06,03,2014-06-03,58.2,47.9,1016.6,10.0,8.8,15.0,999.9,69.1,46.9,0.0,999.9,0,663
2,2014,06,03,2014-06-03,61.3,51.1,9999.9,10.0,8.0,17.1,22.0,71.6,48.2,0.0,999.9,0,663
3,2014,06,04,2014-06-04,57.1,53.1,9999.9,9.6,4.5,9.9,999.9,64.4,53.6,99.99,999.9,0,582
3,2014,06,04,2014-06-04,55.2,51.2,1011.4,7.6,8.3,12.0,999.9,64.9,51.1,0.0,999.9,1,582
4,2014,06,05,2014-06-05,58.8,58.8,9999.9,4.0,5.8,15.0,24.1,62.6,55.4,99.99,999.9,1,569
4,2014,06,05,2014-06-05,60.0,57.2,1006.3,5.8,7.1,19.0,35.0,64.0,55.4,0.01,999.9,1,569
5,2014,06,06,2014-06-06,62.4,55.6,9999.9,9.3,7.6,12.0,19.0,75.2,51.8,0.0,999.9,0,743
5,2014,06,06,2014-06-06,61.3,54.4,1007.8,9.8,10.0,15.9,21.0,69.1,55.4,2.21,999.9,0,743
6,2014,06,07,2014-06-07,65.6,54.0,1012.5,9.9,8.6,12.0,999.9,73.9,57.0,0.0,999.9,0,623
6,2014,06,07,2014-06-07,66.7,55.2,9999.9,10.0,6.0,13.0,999.9,77.0,55.4,99.99,999.9,0,623
7,2014,06,08,2014-06-08,64.9,55.5,1013.2,9.8,4.8,8.0,999.9,77.0,55.9,0.0,999.9,0,516
7,2014,06,08,2014-06-08,69.5,56.4,9999.9,10.0,4.1,8.9,11.1,82.4,53.6,99.99,999.9,0,516
1,2014,06,09,2014-06-09,61.2,57.0,1015.2,7.1,5.6,9.9,999.9,68.0,55.0,0.0,999.9,1,528
1,2014,06,09,2014-06-09,67.0,57.4,9999.9,10.0,6.6,11.1,15.0,75.2,59.0,0.0,999.9,0,528
2,2014,06,10,2014-06-10,63.8,60.7,1015.8,8.7,5.6,8.9,999.9,66.9,61.0,0.03,999.9,0,569
2,2014,06,10,2014-06-10,66.6,63.3,9999.9,9.6,8.0,19.0,27.0,71.6,62.6,99.99,999.9,0,569
