"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"52",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,41.4,38.9,1002.1,7.2,7.8,14,NA,46.9,39,0.32,NA,1,517
"53",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,39.3,34.2,1000.8,9.4,10.6,20,24.1,43,37,0.08,NA,0,603
"54",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,38.2,29.1,1004,10,9.4,14,15,42.1,36,0,NA,0,474
"55",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,37.4,29.3,1002.6,10,7.1,11.1,NA,39.9,36,0,NA,0,502
"56",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,37,26.4,1002.1,10,11.5,17.1,25.1,43,32,0,NA,0,597
"57",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,38.5,29.8,1009.5,9.9,14.9,21,27,43,35.1,0,NA,0,527
"58",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,39.1,34.2,1014.7,9.4,13.5,26,39,43,32,0.02,NA,0,475
"59",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,38.3,35.2,1008.2,4.1,31.6,39,55,41,33.8,0.8,NA,0,535
"60",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,39.2,31.7,1018.9,9.9,24.9,28.9,42.9,42.1,37.4,0.4,NA,0,569
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,39,31.7,1026.9,10,11.9,19,25.1,43,36,0,NA,0,415
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,39.9,34.7,1026.1,10,6.5,11.1,NA,45,36,0,NA,0,522
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,46,43.9,1018.9,7.5,13.1,17.1,26,50,41,0,NA,0,547
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,46.3,41.1,1007.6,7.1,13.1,19,26,50,41,0.54,NA,0,636
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,37,25.3,1007.7,9.7,10.4,18.1,26,44.1,30,0.49,NA,0,557
"66",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,31.2,13.7,1009.1,10,18.5,24.1,36.9,39,25,0,NA,0,607
"67",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,37.1,22,1008.1,10,10.2,19,25.1,41,34,0,NA,0,521
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,34.8,21.5,1014.7,9.9,7.5,14,20,39.9,28,0,NA,0,426
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,32.1,15.5,1027.6,10,9,15.9,20,37,26.1,0,NA,0,623
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,39.6,35.5,1012.4,4.6,16.5,22.9,33,46.9,33.1,0.41,NA,1,559
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,36.5,25.7,1007.3,10,17.9,25.1,32.1,42.1,32,0.35,NA,0,540
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,38.3,29.9,1006.7,9.8,10.9,21,27,45,28,0,NA,0,508
"73",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,34.3,27.6,1003.8,6.8,13.6,19,26,39,30,0.23,NA,0,604
"74",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,38.5,21.7,1006.3,10,15.9,22.9,39,45,32,0.02,NA,0,488
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,39.1,23.3,1008.5,10,10.4,15,22,45,34,0,NA,0,451
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,38.1,29.8,1003.3,10,9.7,20,28,46.9,32,0,NA,0,498
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,39.8,28.7,1002.7,9.7,15.5,24.1,34,46.9,35.1,0.05,NA,0,425
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,41.7,30.3,1008.3,10,9.4,15.9,22.9,50,34,0.01,NA,0,441
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,42.5,34.5,1011.7,9.9,12.5,21,25.1,50,37.9,0.02,NA,0,549
"80",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,45.2,34.3,1016.4,10,8.9,14,20,54,39,0.02,NA,0,520
"81",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,44.5,35.1,1017.4,10,7,13,17.1,52,37.9,0.02,NA,0,513
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,43,38.1,1019.2,10,7.1,13,NA,48.9,33.1,0,NA,0,426
"83",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,47,42.9,1005.8,6.8,16.3,26,34,51.1,44.1,0.18,NA,0,479
"84",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,39.6,18.8,1011.4,9.9,17.2,22.9,33,51.1,32,0.02,NA,0,437
"85",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,42.6,15.7,1015.8,10,17,25.1,34,51.1,33.8,0,NA,0,532
"86",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,39,18.8,1023.2,10,14,19,28,45,34,0,NA,0,566
"87",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,42.9,38.5,1014.7,8.7,8,17.1,22,48,39,0.01,NA,0,582
"88",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,40.2,22,1018.3,10,12.5,20,28.9,45,35.1,0.33,NA,0,531
"89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,39.7,28.6,1025.8,10,9.2,17.1,NA,48,26.1,0,NA,0,451
"90",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,50,41.6,1018.1,9.1,9.4,13,NA,62.1,42.1,0,NA,0,582
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,49.4,43.4,1015.9,6.7,10.7,20,28,63,39.9,0,NA,1,613
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,46.5,42,1014.1,7.6,8.8,15.9,17.1,54,41,0.12,NA,1,580
